"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00145860191089324,1.02157025531879,0.269,0.164,1,"3","Rap1gap2"
0.0014751002755586,0.578800140838546,0.469,0.346,1,"3","Stxbp3"
0.00150283597574737,0.443193227160828,0.754,0.658,1,"3","Sec22b"
0.00150592960275624,0.589447335505741,0.492,0.37,1,"3","Znrf3"
0.00151266019295729,0.644382807607501,0.346,0.222,1,"3","Ifi204"
0.00155228800165681,0.749583667985745,0.462,0.357,1,"3","Ift57"
0.00156980983985604,0.253754337016688,1,0.993,1,"3","Igfbp4"
0.00158577338113063,0.534988188009411,0.454,0.342,1,"3","Hexb"
0.0016132453125992,0.694581717506977,0.462,0.36,1,"3","Ttll12"
0.00163052809423072,0.495188141072568,0.638,0.571,1,"3","Gch1"
0.00163348260672548,0.442985402375997,0.731,0.69,1,"3","Vezf1"
0.00164234473982367,0.691589201901983,0.438,0.316,1,"3","Parp3"
0.00167795417641969,0.434522430985806,0.877,0.791,1,"3","Mrps23"
0.00170282067298791,0.346417758042803,0.885,0.822,1,"3","Ugdh"
0.00170555196939601,0.405782851741695,0.731,0.652,1,"3","Hagh"
0.00173207238106348,0.85862168043021,0.754,0.684,1,"3","Gadd45g"
0.00174433442930244,0.812696455299497,0.415,0.322,1,"3","Nf2"
0.00177890614999162,0.815643602896908,0.415,0.298,1,"3","St7l"
0.00178923690675422,0.465891760423862,0.608,0.52,1,"3","Rab1b"
0.00182909380047724,0.834577516639729,0.315,0.205,1,"3","Polk"
0.00183169257847351,0.729999516232837,0.446,0.345,1,"3","Usp25"
0.00184331830534865,0.671339426934111,0.369,0.245,1,"3","Nek10"
0.00185695190452164,0.604213595250301,0.454,0.33,1,"3","Ampd2"
0.00186129905351028,0.792404374019176,0.362,0.251,1,"3","Lpcat4"
0.00186248483519483,0.585949273524978,0.6,0.509,1,"3","Cog8"
0.00186874871867375,0.911759403643733,0.285,0.183,1,"3","Qrsl1"
0.00192961881834552,0.714096551534924,0.462,0.358,1,"3","Prcc"
0.00201438621952261,0.702290754059312,0.454,0.348,1,"3","Pawr"
0.00202777012210589,0.639661377884848,0.485,0.384,1,"3","Rfk"
0.00210354635353362,0.490053132653666,0.615,0.524,1,"3","Ugp2"
0.00212465604478467,0.309377773616551,0.823,0.731,1,"3","Nipbl"
0.00212810064210343,0.917039120645782,0.377,0.275,1,"3","Gm17501"
0.00215836510396675,0.435943213549593,0.5,0.358,1,"3","Myh10"
0.00216617009455073,0.672795988707574,0.508,0.402,1,"3","H1f3"
0.00218692990957737,0.373466720891132,0.815,0.725,1,"3","Wdr33"
0.00221388612533742,0.285052105257313,0.969,0.872,1,"3","Hells"
0.00222361226839069,0.333521355963879,0.762,0.668,1,"3","Pla2g12a"
0.00223162555004682,0.352746078221989,0.815,0.781,1,"3","Eif2a"
0.00224104277100809,1.14905377411172,0.262,0.17,1,"3","Esrra"
0.00226174362697563,0.517194918382816,0.523,0.443,1,"3","Auh"
0.00231064687405099,0.810637590244907,0.331,0.227,1,"3","Eid2"
0.00234150988321779,0.322045148874216,0.8,0.734,1,"3","Zcchc17"
0.00237024110802034,0.67782742024651,0.508,0.406,1,"3","Usp22"
0.00238798137232906,0.820192755108515,0.3,0.199,1,"3","Bcl9"
0.00248303888925811,0.477581900402255,0.631,0.536,1,"3","Elf2"
0.00250031613383447,0.578419152915331,0.485,0.37,1,"3","Ate1"
0.00250966907633828,0.483227816278459,0.708,0.635,1,"3","Abhd8"
0.00251769678183759,0.386443006205077,0.792,0.719,1,"3","Ccnh"
0.00252810107374264,0.352393440060393,0.862,0.794,1,"3","Gmds"
0.00256809708705386,0.680039717669921,0.508,0.4,1,"3","Eri3"
0.00259279415149023,0.690785357295198,0.462,0.369,1,"3","Isca2"
0.00261358370058108,0.435642432967482,0.692,0.62,1,"3","Hdac2"
0.0026399228981495,0.332471679898947,0.754,0.727,1,"3","Rras"
0.00265474284831683,0.533127958944933,0.5,0.416,1,"3","Atp11b"
0.00267793031805303,0.9877812031849,0.3,0.202,1,"3","Rnf141"
0.00268409562618734,0.283774580281511,0.862,0.789,1,"3","Pdlim7"
0.00272680714527912,0.624003635226377,0.508,0.433,1,"3","Sac3d1"
0.00274312477858374,1.09480492980959,0.269,0.175,1,"3","Qsox2"
0.00284433809972345,0.770740725850155,0.431,0.332,1,"3","Tmem101"
0.00289895646608573,0.31216178123906,0.854,0.833,1,"3","Hadh"
0.00293319551841437,0.623194573358903,0.546,0.436,1,"3","Afg2a"
0.00293931713230197,0.553910618961491,0.538,0.425,1,"3","Vcl"
0.00294297784209208,0.336601289051342,0.654,0.582,1,"3","Slc35b2"
0.00294526242604525,0.252703458446187,0.985,0.971,1,"3","Dpm3"
0.00296225033165988,0.510878045187617,0.408,0.293,1,"3","Prnp"
0.00297680560317039,0.966542740406438,0.292,0.195,1,"3","Gramd4"
0.00297688917029485,0.318317269222421,0.823,0.734,1,"3","Luzp1"
0.00298314450661373,0.492920454423142,0.6,0.507,1,"3","Plxnb2"
0.00307389160431858,0.931551260851846,0.285,0.179,1,"3","Cdkn1a"
0.00308138512349763,0.871228574988956,0.338,0.243,1,"3","Arhgap35"
0.00309111149982094,0.495754203813837,0.6,0.509,1,"3","Tns3"
0.00320912667824329,0.303061853743489,0.869,0.884,1,"3","Skp1"
0.00322673007246058,0.334995600970709,0.954,0.922,1,"3","Psmd3"
0.00323360550348184,0.369001873406744,0.862,0.85,1,"3","Znhit6"
0.00324725863181899,0.442318438640179,0.646,0.529,1,"3","Dis3"
0.00327321573193274,0.529855186698273,0.554,0.448,1,"3","Ctdspl"
0.00328427305688296,0.354240329979019,0.769,0.741,1,"3","Pak2"
0.00329238822547227,0.425474344409798,0.592,0.504,1,"3","Gm43362"
0.00333332927448396,0.455953197010701,0.7,0.622,1,"3","Ldlr"
0.00336849349058283,0.755089576831947,0.446,0.361,1,"3","Hint3"
0.00342144693411655,0.616599378080573,0.554,0.463,1,"3","Mrpl47"
0.00343481983446292,0.586195633761289,0.569,0.489,1,"3","Crlf3"
0.00345413805383363,0.507788352226234,0.546,0.449,1,"3","Tfrc"
0.00346729478052791,0.745666035060206,0.469,0.4,1,"3","Dcun1d1"
0.00347950403168509,0.460919064103646,0.577,0.491,1,"3","Med25"
0.00349240786606162,0.350458712365213,0.792,0.73,1,"3","Cenpk"
0.00349635919221584,1.01311683457173,0.262,0.168,1,"3","Clybl"
0.00352757148499864,0.522668526312886,0.446,0.337,1,"3","Wnt10a"
0.00353034465826184,0.406269298919686,0.769,0.715,1,"3","Ttc1"
0.00354888005208826,0.709444949354834,0.292,0.19,1,"3","Cep170b"
0.0035917948219573,0.593872928638223,0.508,0.433,1,"3","Prkacb"
0.0036186475184357,0.364896806150544,0.715,0.65,1,"3","Pex2"
0.00363163369154446,0.384327920137048,0.777,0.709,1,"3","Gyg1"
0.00365735261454547,0.251295856166546,0.954,0.933,1,"3","Rock2"
0.00371349790767084,0.299231068170641,0.877,0.842,1,"3","Use1"
0.00375884471482631,0.851269081313636,0.254,0.156,1,"3","Iqgap2"
0.00377473891289575,0.469687511862682,0.485,0.365,1,"3","Bphl"
0.00388655481607779,0.483968635531305,0.715,0.69,1,"3","Npepps"
0.00391009100726522,0.265335008758977,0.9,0.881,1,"3","Cebpz"
0.00398593072317714,0.776424716659953,0.323,0.213,1,"3","Baz2a"
0.00412441873825423,0.415688549494168,0.692,0.584,1,"3","Mfsd10"
0.00418523644623505,0.716311597939854,0.254,0.155,1,"3","Kptn"
0.00419456252364893,0.527624799727986,0.554,0.455,1,"3","Smc5"
0.00425732693444483,0.289430279240991,0.923,0.908,1,"3","Nfib"
0.00427647795111918,0.658029858825366,0.485,0.413,1,"3","H4c4"
0.00432922873317142,0.674191959550953,0.454,0.357,1,"3","Scrn2"
0.00436032094499349,0.54901991051529,0.5,0.414,1,"3","Stx7"
0.00439711786866485,0.40199044126991,0.708,0.631,1,"3","Cyp51"
0.00442576529139319,0.641995552319961,0.477,0.384,1,"3","Mthfsd"
0.00443490199015722,0.451522187318028,0.6,0.501,1,"3","Chka"
0.00449875993614091,0.347992290448058,0.885,0.825,1,"3","Cmc2"
0.00450680903322867,0.928182865321162,0.346,0.254,1,"3","Abcf3"
0.00462342534559739,0.581773243508179,0.508,0.428,1,"3","Bicd2"
0.00468150195969649,0.34315880925636,0.762,0.711,1,"3","Map2k3"
0.00468738801898134,0.652493475659164,0.508,0.413,1,"3","Siah2"
0.00484728171566916,0.70222444178733,0.377,0.277,1,"3","Kidins220"
0.00497402870103324,0.31780907458053,0.831,0.754,1,"3","Nt5c3b"
0.00497454435463384,0.815402577066256,0.377,0.281,1,"3","Ndufaf3"
0.00497484328984699,0.693689229310012,0.323,0.221,1,"3","Tmem216"
0.00497540711434662,0.618255821873977,0.415,0.318,1,"3","Rprd2"
0.00502320793707506,0.56817702428676,0.431,0.345,1,"3","Atp11a"
0.00503683292391847,0.509381776093947,0.515,0.424,1,"3","Diablo"
0.00508108917894673,0.452946239186298,0.723,0.664,1,"3","Ccdc86"
0.00514931501929103,0.374914422671311,0.654,0.559,1,"3","Nemf"
0.00515565690498839,0.289803196182034,0.877,0.845,1,"3","Ehd1"
0.00517182118848396,0.511679657951475,0.531,0.43,1,"3","Ap3d1"
0.0052659568001553,0.564853421922102,0.446,0.356,1,"3","Tgoln1"
0.00528363592704371,0.780983365064604,0.262,0.166,1,"3","Dtx2"
0.00535552468423709,0.567693014946185,0.354,0.255,1,"3","Wbp1"
0.00538194454033799,0.374651007633358,0.769,0.693,1,"3","Spc24"
0.00538996132480996,0.583425235837644,0.492,0.393,1,"3","Pold3"
0.00545806397854173,0.726681353824559,0.354,0.254,1,"3","Dgkh"
0.00546073298183258,0.369495790954777,0.7,0.647,1,"3","Pelp1"
0.0055277962668514,0.279029548254967,0.908,0.865,1,"3","Dnttip2"
0.00556777244702984,0.744083734154736,0.338,0.237,1,"3","Gbp3"
0.00563464778876182,0.600449693556776,0.469,0.385,1,"3","Pigbos1"
0.00566229603681629,0.781990003342805,0.354,0.27,1,"3","Traf3"
0.00567592625286892,0.518566147090973,0.469,0.369,1,"3","Sik3"
0.00567981234992015,1.09529484293991,0.254,0.167,1,"3","Gm56878"
0.00571143528196107,0.266996316896873,0.892,0.845,1,"3","Gar1"
0.00574694170401964,0.5986006715437,0.431,0.336,1,"3","Zng1"
0.00575358091492891,1.16514417909704,0.308,0.214,1,"3","Klf10"
0.00577437957423165,0.300946384140887,0.838,0.837,1,"3","Mrpl55"
0.00588177774298576,0.44612772682363,0.608,0.543,1,"3","Dhrs7b"
0.00590213812889967,0.712055932712719,0.285,0.183,1,"3","Cstf2t"
0.00592501443340334,0.58071615574985,0.423,0.333,1,"3","Smg1"
0.00601384097769226,0.602707001882427,0.531,0.447,1,"3","Crim1"
0.00601524592415349,1.0160154356361,0.254,0.168,1,"3","Kyat3"
0.00603609218804024,0.527573709659826,0.508,0.408,1,"3","Cnot3"
0.0060758797335603,0.600424163359121,0.338,0.229,1,"3","Samd9l"
0.00609379404741713,0.812439173816044,0.262,0.174,1,"3","Tnfrsf10b"
0.00613511553120831,0.544368252525054,0.508,0.412,1,"3","Atg5"
0.00615032443283485,0.574732026288925,0.438,0.334,1,"3","Btbd2"
0.00615300913522279,0.644410036023247,0.454,0.36,1,"3","Phf20"
0.00621727335917981,0.439976213212872,0.731,0.687,1,"3","Nsmce2"
0.00623767993038181,0.326175743522951,0.846,0.809,1,"3","Commd2"
0.00629121316248711,0.632194150987201,0.508,0.437,1,"3","Prpf3"
