"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Tsc22d1",84.3403413980513,0.40845574707357,0.186904033335,2.18537684706605,0.0288612270397084,0.72559877087431
"Exosc1",92.2594727971914,-0.416505666642407,0.190781007018167,-2.18316106593747,0.0290239508349724,0.72559877087431
"Nme1",1078.4145038154,-0.148429535218441,0.0681635149290561,-2.17755107513052,0.0294394753578406,0.731443755032768
"Atrx",122.31922497621,0.330760132431471,0.152216245977803,2.17296209288793,0.0297831704359515,0.73544331904727
"Polr1h",86.1275949012983,-0.411910984294445,0.189999366380314,-2.1679597787181,0.0301617469101212,0.740250190934377
"Zeb2",42.3333223304652,0.546558441049989,0.254207672025465,2.15004699384225,0.0315514977531326,0.74487319287948
"Ybx1",1928.68797724541,-0.125198186163489,0.0581834804206003,-2.15178234884625,0.0314145006986606,0.74487319287948
"Rps12",3868.10720851724,0.146374040983559,0.0681170851259167,2.14885943391415,0.0316455443434512,0.74487319287948
"Cnn2",296.265355708004,-0.241838489872392,0.112311844938344,-2.15327679823223,0.0312969311199836,0.74487319287948
"Rnf187",247.325204357461,-0.239550591046563,0.111128206135871,-2.15562366545966,0.0311130631022324,0.74487319287948
"Myc",64.068910076968,-0.474999035661517,0.22012734190977,-2.15783751141745,0.0309404672906221,0.74487319287948
"mt-Atp8",141.687423275706,0.328431722470672,0.152768311019548,2.14986812565236,0.0315656475329465,0.74487319287948
"Dohh",82.3794634537326,-0.396869145737881,0.184913023770657,-2.14624766630882,0.0318532244742188,0.74540249132983
"Tagln2",760.168399144217,-0.168428919594323,0.0786320905853513,-2.14198704804245,0.0321945242876274,0.749034452356649
"Isoc1",58.7111979752253,0.445882612926166,0.208822690475691,2.13522109072754,0.0327429549296894,0.757416055126436
"Tm4sf1",1244.00045018648,-0.314470561651677,0.148095970937978,-2.12342415299992,0.0337183250288155,0.775521475662756
"Tnrc6c",51.2310256376021,0.504045699965709,0.237636267090293,2.12108070092765,0.0339150117338554,0.775613194481637
"Ptpn18",83.1827245477229,0.395830764633242,0.1871301594087,2.11526974531525,0.0344069635261455,0.776488171967615
"Nudt5",90.8108402983947,-0.392364425834959,0.18708694968591,-2.09723033324173,0.0359731905369935,0.776488171967615
"Surf4",166.577815406751,-0.304393247829566,0.145874798531532,-2.08667467508975,0.0369175519964323,0.776488171967615
"Fgf7",118.838149673026,-0.341987219882298,0.164670389570445,-2.07679851110085,0.0378201597061802,0.776488171967615
"Pdrg1",38.8978748690693,0.552414261131426,0.261734882029373,2.11058708280784,0.0348078189046421,0.776488171967615
"Rheb",244.91449809111,-0.248876022358499,0.12046712271941,-2.06592484937303,0.0388355760941459,0.776488171967615
"Pus1",56.0720125617731,-0.480490350560594,0.229252861504125,-2.09589685122402,0.0360913421090676,0.776488171967615
"Psph",251.611530425793,-0.24243757806479,0.115968739455188,-2.09054249622564,0.0365690951330329,0.776488171967615
"Rac1",260.626097618332,-0.240236632689632,0.115599618553485,-2.07817842044592,0.0376929288970468,0.776488171967615
"Ybx3",842.337447853008,-0.174028070485199,0.0839704451443051,-2.07249193672997,0.0382195874393645,0.776488171967615
"Parva",80.3512084771023,-0.403391648132592,0.194940461417934,-2.06930693196502,0.0385172935719978,0.776488171967615
"Ifitm2",405.002450367593,-0.191919152720163,0.0908842207539743,-2.11168837811453,0.034713186507577,0.776488171967615
"Bst2",855.015010227971,-0.18256758957292,0.0874516304990945,-2.08764077388826,0.0368302510591346,0.776488171967615
"Abracl",333.735776394357,-0.214093112696174,0.103008978136302,-2.0783927437168,0.0376732005081306,0.776488171967615
"Itgb2",62.4957069858404,0.445737727993305,0.215858470272876,2.06495361256766,0.0389273896068213,0.776488171967615
"Snrpf",415.423821154474,-0.189083264991472,0.0916197834354705,-2.06378205559334,0.0390383851941923,0.776488171967615
"Ogdh",88.7227422789752,0.379415361685403,0.181798186394202,2.08701400828443,0.0368868682982392,0.776488171967615
"Actg1",1808.11708501878,-0.170168985164409,0.0824429648809564,-2.06408133683844,0.0390100051739055,0.776488171967615
"Timm9",90.7010241224323,-0.401001498540114,0.191258306506615,-2.09664879849934,0.0360246761103839,0.776488171967615
"Nedd8",453.091496396301,-0.175027282493976,0.0848625150416507,-2.06248050046681,0.0391620121514101,0.776488171967615
"Stk24",129.165061899617,0.314822470172431,0.149409670779375,2.10710905479011,0.035108127635035,0.776488171967615
"Nsmce2",75.1875723403767,-0.442772046450892,0.211200503316226,-2.09645355715814,0.0360419756808499,0.776488171967615
"Rps2",8727.65148349338,-0.0991763103633455,0.047394862183354,-2.09255404055544,0.0363889829013177,0.776488171967615
"Gstp1",103.463421296001,0.373929096979869,0.179502433732495,2.08314221264052,0.0372382626295907,0.776488171967615
"Ppp1r14b",917.566140518948,-0.142610014725196,0.0678285025816813,-2.10250866961806,0.0355087410103928,0.776488171967615
"Fra10ac1",40.94837834455,-0.599807087443803,0.289054944168007,-2.07506254276411,0.0379807386915878,0.776488171967615
"Bloc1s2",71.0080972414608,-0.426847023977713,0.205760070228904,-2.07448910521296,0.0380339095447132,0.776488171967615
